id,first_name,last_name,email,gender,loyalty_status,spend_2021,avg_rate
1,Marj,Wasselin,MarjWasselin@datascience.AOT,Female,Gold,2822.87,$95.11
2,Kissiah,Lince,KissiahLince@datascience.AOT,Female,Gold,2330.12,$34.13
3,Margarita,Celle,MargaritaCelle@datascience.AOT,Female,Platnium,2797.42,$204.66
4,Nat,Richens,NatRichens@datascience.AOT,Female,None,2487.1,$60.49
5,Jelene,Ripper,JeleneRipper@datascience.AOT,Bigender,Silver,2370.85,$78.13
6,Tom,Mullender,TomMullender@datascience.AOT,Male,Platnium,542.91,$63.01
7,Sonny,Jerschke,SonnyJerschke@datascience.AOT,Male,None,2406.53,$66.19
8,Kearney,Hubeaux,KearneyHubeaux@datascience.AOT,Male,Silver,3287.17,$181.07
9,Vince,Mannock,VinceMannock@datascience.AOT,Male,Silver,1900.43,$161.62
10,Harry,Duckworth,HarryDuckworth@datascience.AOT,Male,None,2557.88,$133.66
11,Robbert,Kite,RobbertKite@datascience.AOT,Male,Silver,2464.89,$44.97
12,Nessie,Karleman,NessieKarleman@datascience.AOT,Female,None,1742.14,$168.72
13,Susette,Boustred,SusetteBoustred@datascience.AOT,Agender,Silver,2253.55,$79.81
14,Ulric,Borel,UlricBorel@datascience.AOT,Male,Gold,1828.7,$150.11
15,Craggie,Spencers,CraggieSpencers@datascience.AOT,Male,Gold,1898.91,$203.18
16,Hyacinthe,Brompton,HyacintheBrompton@datascience.AOT,Female,Platnium,3296.68,$181.15
17,Maximilian,Garwell,MaximilianGarwell@datascience.AOT,Male,None,1161.31,$114.83
18,Maurizio,Gillbanks,MaurizioGillbanks@datascience.AOT,Male,None,3201.07,$179.18
19,Josepha,Isoldi,JosephaIsoldi@datascience.AOT,Genderqueer,None,1096.87,$242.91
20,Malynda,MacAvaddy,MalyndaMacAvaddy@datascience.AOT,Female,Silver,1724.14,$15.85
21,Tracy,Crocroft,TracyCrocroft@datascience.AOT,Female,Silver,1606.22,$17.45
22,Kristian,Mattacks,KristianMattacks@datascience.AOT,Male,Gold,2456.62,$216.41
23,Jorgan,Erie,JorganErie@datascience.AOT,Male,Gold,3633.88,$189.88
24,Darci,Hotchkin,DarciHotchkin@datascience.AOT,Female,Silver,4245.37,$49.30
25,Buiron,Wrate,BuironWrate@datascience.AOT,Male,Gold,3483.39,$176.04
26,Katleen,Wittering,KatleenWittering@datascience.AOT,Female,None,2436.16,$26.13
27,Rolf,Mucci,RolfMucci@datascience.AOT,Agender,Gold,1644.68,$30.14
28,Jeremias,Ciccotto,JeremiasCiccotto@datascience.AOT,Male,Silver,863.88,$178.39
29,Brietta,MacGillivray,BriettaMacGillivray@datascience.AOT,Female,Gold,2549.92,$126.13
30,Dean,Smoote,DeanSmoote@datascience.AOT,Male,Silver,2903.45,$203.44
31,Stacee,Lowdiane,StaceeLowdiane@datascience.AOT,Male,Silver,3763.93,$55.74
32,Pierette,Shellard,PieretteShellard@datascience.AOT,Female,Gold,1686.85,$124.17
33,Maryjo,Cristofaro,MaryjoCristofaro@datascience.AOT,Female,Gold,1472.81,$45.34
34,Ailis,Stonuary,AilisStonuary@datascience.AOT,Female,None,4242.12,$240.74
35,Madeline,Tythe,MadelineTythe@datascience.AOT,Female,None,3751.15,$159.12
36,Griswold,Stilgoe,GriswoldStilgoe@datascience.AOT,Male,Silver,3948.14,$94.73
37,Padget,de Zamora,Padgetde Zamora@datascience.AOT,Male,Platnium,1776.64,$56.53
38,Chadd,Antonchik,ChaddAntonchik@datascience.AOT,Male,None,1703.72,$205.37
39,Blondell,Learman,BlondellLearman@datascience.AOT,Female,Gold,2983.81,$197.34
40,Franklyn,Hulk,FranklynHulk@datascience.AOT,Male,Platnium,2066.66,$180.08
41,Verile,Sein,VerileSein@datascience.AOT,Female,Silver,2572.83,$87.19
42,Ingra,Fonteyne,IngraFonteyne@datascience.AOT,Male,Platnium,1521.39,$19.97
43,Cleavland,Casaccio,CleavlandCasaccio@datascience.AOT,Male,Platnium,2134.8,$33.42
44,Karim,Izard,KarimIzard@datascience.AOT,Male,None,2274.97,$201.78
45,Catlin,Ebi,CatlinEbi@datascience.AOT,Female,Gold,,
46,Jemima,Kamen,JemimaKamen@datascience.AOT,Female,Gold,4074.86,$37.72
47,Kendall,Eustice,KendallEustice@datascience.AOT,Male,Gold,594.84,$93.40
48,Mara,Dulton,MaraDulton@datascience.AOT,Female,Gold,2006.2,$79.36
